Book_Title,Author,Average Rating,Total Rating,Total Score,People Voted
"Treacherous Estate (Jack Ludefance, #1)",Behcet Kaya,4.25,5070,"1,709",19
Denali Skies,Danielle Rohr,3.78,112,"1,700",17
"Sex in the Title: A Comedy about Dating, Sex, and Romance in NYC",Zack Love,3.47,829,"1,700",17
Journey to the West: A Long March from Eastern Dream to Western Reality,Biao  Wang,4.3,116,"1,700",17
"Supreme Betrayal (Zachary Blake Legal Thriller, #6)",Mark M. Bello,4.33,4091,"1,696",20
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,4.29,300117,"1,666",18
Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,4.25,47114,"1,659",17
My Name Is Memory,Ann Brashares,3.71,32350,"1,658",19
The Rose Garden,Susanna Kearsley,4.03,31451,"1,656",18
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.66,2414166,"1,655",21
The Ocean at the End of the Lane,Neil Gaiman,4.01,573656,"1,649",19
"Night  (The Night Trilogy, #1)",Elie Wiesel,4.36,1160780,"1,644",19
"Reached (Matched, #3)",Ally Condie,3.55,159825,"1,641",19
Memoirs of a Geisha,Arthur Golden,4.14,1920513,"1,636",22
Madame Bovary,Gustave Flaubert,3.7,309471,"1,635",21
Where There's Smoke (Sugar Mountain #2),Kirsten Fullmer,4.3,3806,"1,634",18
"The Sweetness at the Bottom of the Pie (Flavia de Luce, #1)",Alan Bradley,3.82,162288,"1,632",21
Emma,Jane Austen,4.04,815006,"1,628",20
Swamplandia!,Karen Russell,3.27,55768,"1,619",19
"The Iron King (The Iron Fey, #1)",Julie Kagawa,3.88,207884,"1,617",20
"Insatiable (Insatiable, #1)",Meg Cabot,3.43,22970,"1,613",19
"Broken Promises (Past Imperfect Mystery, #1)",Anne  Willow,4.25,2789,"1,608",18
Crossing the Seas: A Diary of My Thoughts,Yuehai Xiao,3.54,2131,"1,600",16
The Lovely Bones,Alice Sebold,3.84,2257783,"1,598",19
"Fifth Grave Past the Light (Charley Davidson, #5)",Darynda Jones,4.43,35510,"1,585",16
Timbi's Dream,Max Nowaz,4.36,603,"1,584",18
Feeling Lucky,M.S.M. Barkawitz,4.29,3170,"1,579",18
The Stranger,Albert Camus,4.01,944055,"1,574",19
Tooth for Tooth (Talion #2),J.K. Franko,4.32,3414,"1,570",17
The First 90 Days: Critical Success Strategies for New Leaders at All Levels,Michael D. Watkins,3.86,27258,"1,570",16
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.85,27463,"1,567",18
Portrait of Our Marriage,Martha Emms,3.88,225,"1,565",16
Before I Fall,Lauren Oliver,3.89,328689,"1,558",20
"Me Before You (Me Before You, #1)",Jojo Moyes,4.26,1495846,"1,556",18
Requiem for a Dream,Hubert Selby Jr.,4.1,58205,"1,552",17
The Power of Regret: How Looking Backward Moves Us Forward,Daniel H. Pink,3.85,8585,"1,552",16
"One for the Money (Stephanie Plum, #1)",Janet Evanovich,4.04,528911,"1,551",19
Under the Dome,Stephen King,3.91,286179,"1,549",18
"Missing Wings (Aranysargas, #1)",Andrea Luhman,4.29,2306,"1,547",17
Sharp Objects,Gillian Flynn,4.01,915790,"1,545",19
"Eat, Pray, Love",Elizabeth Gilbert,3.61,1670739,"1,542",19
The Historian,Elizabeth Kostova,3.79,258397,"1,541",18
Time Chain,Steven Decker,4.17,1231,"1,533",18
The Beach Trees,Karen   White,4.04,13997,"1,532",16
The Violets of March,Sarah Jio,3.83,25300,"1,532",17
Jane Eyre,Charlotte Brontë,4.14,1959551,"1,519",21
The Lacuna,Barbara Kingsolver,3.8,66556,"1,518",18
Little Women,Louisa May Alcott,4.14,2066316,"1,516",19
"Perfect Chemistry (Perfect Chemistry, #1)",Simone Elkeles,4.05,256668,"1,502",21
"Crossroads and the Dominion of Four (Crossroads, #2)",C. Toni Graham,4.26,2756,"1,500",17
"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,4.3,271738,"1,498",18
In Cold Blood,Truman Capote,4.08,617871,"1,487",18
Life of Pi,Yann Martel,3.93,1542727,"1,483",18
Dueling Fates (Immar & Stauros trilogy #1),Stephanie M. Allen,4.31,1342,"1,469",16
"13 Little Blue Envelopes (Little Blue Envelope, #1)",Maureen Johnson,3.63,81862,"1,463",17
A Prayer for Owen Meany,John Irving,4.24,309875,"1,462",18
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,4.08,486470,"1,455",17
The Year We Left Home,Jean Thompson,3.39,6503,"1,454",16
Animal Farm,George Orwell,3.98,3534719,"1,453",17
"American Gods (American Gods, #1)",Neil Gaiman,4.11,876727,"1,443",19
Matterhorn,Karl Marlantes,4.24,41516,"1,439",16
The Lucky One,Nicholas Sparks,4.12,352160,"1,437",17
Heart of Darkness,Joseph Conrad,3.43,482615,"1,422",17
The Friendly Mouse,Sophia R. Tyler,4.43,769,"1,421",17
Fear and Loathing in Las Vegas,Hunter S. Thompson,4.07,332773,"1,415",17
"Archangel's Blade (Guild Hunter, #4)",Nalini Singh,4.25,32423,"1,406",15
Syrian Brides,Anna Halabi,4.18,226,"1,399",14
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.13,858711,"1,391",18
The Diary of a Young Girl,Anne Frank,4.18,3458755,"1,387",17
Geek Love,Katherine Dunn,3.96,63856,"1,382",16
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,4.41,962832,"1,378",18
The Girl on the Train,Paula Hawkins,3.95,2703524,"1,377",16
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,3762186,"1,360",19
At Home: A Short History of Private Life,Bill Bryson,3.98,90581,"1,359",15
Lunar Park,Bret Easton Ellis,3.64,27548,"1,352",15
Arminius and Thusnelda Versus Rome,Michael G. Kramer,4.35,2825,"1,351",15
"Prince of Thorns (The Broken Empire, #1)",Mark  Lawrence,3.85,108538,"1,347",16
"Kiss of Snow (Psy-Changeling, #10)",Nalini Singh,4.45,30568,"1,344",14
"Silence (Hush, Hush, #3)",Becca Fitzpatrick,4.08,273092,"1,329",16
"Will Grayson, Will Grayson",John Green,3.72,384790,"1,320",17
"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,4.29,918743,"1,319",17
"A Time to Kill (Jake Brigance, #1)",John Grisham,4.1,780646,"1,313",15
"Searching for Ganesha: Collecting Images of the Sweet-Loving, Elephant-Headed Hindu Deity Everybody Admires",Paul Spencer Sochaczewski,4.33,648,"1,304",14
A Gracious Enemy,Michael G. Kramer,4.33,1475,"1,302",14
This Lullaby,Sarah Dessen,4.02,176893,"1,300",16
"Moby-Dick or, the Whale",Herman Melville,3.53,532107,"1,299",17
Bill of Human Wrongs,C. Michaels,4.24,66,"1,294",13
The Soldier's Wife,Margaret Leroy,3.9,14680,"1,293",14
"Gabriel's Rapture (Gabriel's Inferno, #2)",Sylvain Reynard,4.21,113308,"1,293",14
Love Auction: Too Risky to Love Again,Sharon Carter,4.31,2672,"1,293",15
The Wind-Up Bird Chronicle,Haruki Murakami,4.15,262597,"1,292",14
My Name Is Rapunzel,K.C. Hilton,3.14,1925,"1,292",13
"Hannibal Rising (Hannibal Lecter, #4)",Thomas  Harris,3.55,45200,"1,290",15
Don't Close Your Eyes,Lynessa James,3.65,480,"1,290",13
"Complicated Moonlight (DCYE, #2)",Lynessa Layne,4.26,227,"1,289",13
"Skagboys (Mark Renton, #1)",Irvine Welsh,4.03,15534,"1,288",14
Stars and Satellites,Terry  Reid,3.34,38,"1,287",13
The Awakening: Fate in Motion,Suzanne Boisvert,4.22,1103,"1,284",14
The Neverending Story,Michael Ende,4.18,190223,"1,281",17
"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,4.56,418785,"1,279",15
"Tiger's Voyage (The Tiger Saga, #3)",Colleen Houck,4.27,35764,"1,277",14
The Lighthouse Effect: How Ordinary People Can Have an Extraordinary Impact in the World,Steve  Pemberton,4.31,6198,"1,273",14
Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe,4.55,74242,"1,273",13
"Betrayal of Justice (Zachary Blake Betrayal, #2)",Mark M. Bello,4.26,491,"1,267",14
The Octunnumi Fosbit Files Prologue,Trevor Alan Foris,4.02,8020,"1,265",14
Effacement,Hieronymus Hawkes,4.23,460,"1,264",14
"Trouble on Main Street (Sugar Mountain, #1)",Kirsten Fullmer,4.27,4146,"1,259",14
"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,4.04,644317,"1,251",15
The 4-Hour Workweek,Timothy Ferriss,3.92,271538,"1,251",14
The Glass Castle,Jeannette Walls,4.3,1108286,"1,242",16
The Casual Vacancy,J.K. Rowling,3.3,322476,"1,231",16
11/22/63,Stephen King,4.32,498381,"1,224",17
Flashback,Dan Simmons,3.27,4482,"1,223",13
"Inside Out (Insider, #1)",Maria V. Snyder,3.82,24026,"1,219",14
"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,4.42,528737,"1,218",15
Persuasion,Jane Austen,4.15,646678,"1,217",16
"Blood, Bones, and Butter: The Inadvertent Education of a Reluctant Chef",Gabrielle Hamilton,3.76,34693,"1,214",13
Joyland,Stephen King,3.93,145807,"1,203",14
Deep World Fire  (Deep World Saga #1),C.M. Meridian,4.15,66,"1,196",12
"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer,4.12,417041,"1,194",13
The Shadow Girl,Misty Mount,4.25,2498,"1,184",13
Dear John,Nicholas Sparks,4.04,584028,"1,183",15
World War Z: An Oral History of the Zombie War,Max Brooks,4.02,499136,"1,183",13
"In the Woods (Dublin Murder Squad, #1)",Tana French,3.79,374749,"1,183",13
Eating Animals,Jonathan Safran Foer,4.21,75351,"1,176",15
"The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,4.02,19517,"1,175",12
"Firelight (Firelight, #1)",Sophie Jordan,3.85,67252,"1,174",15
Trust: Pandora's Box (TRUST Trilogy #3; TRUST Universe #6-8),Cristiane Serruya,3.95,177,"1,173",12
Eleanor Oliphant Is Completely Fine,Gail Honeyman,4.25,1088328,"1,171",14
The Deepest Well: Healing the Long-Term Effects of Childhood Adversity,Nadine Burke Harris,4.48,7208,"1,171",12
And Then There Were None,Agatha Christie,4.28,1192856,"1,169",14
Madame Tussaud: A Novel of the French Revolution,Michelle Moran,3.96,21168,"1,168",14
The Children Act,Ian McEwan,3.72,74564,"1,167",13
"Crooked Letter, Crooked Letter",Tom Franklin,3.83,43176,"1,161",13
"Sirensong (Faeriewalker, #3)",Jenna Black,3.93,9215,"1,160",13
Atonement,Ian McEwan,3.93,495139,"1,159",15
Bottled Lightning,L.M. Weeks,4.15,682,"1,151",13
The Road,Cormac McCarthy,3.98,833962,"1,150",14
"Wildcat Fireflies (Fenestra, #2)",Amber Kizer,3.93,1980,"1,144",13
"Eye of the Tempest (Jane True, #4)",Nicole Peeler,4.05,3003,"1,141",12
"Bloodlines (Bloodlines, #1)",Lindsay Anne Kendal,3.75,1060,"1,139",13
Pale Fire,Vladimir Nabokov,4.16,47284,"1,133",13
"Africa's Child (Dancing Soul Trilogy, #1)",Maria Nhambu,4.31,4073,"1,132",13
Consider the Lobster and Other Essays,David Foster Wallace,4.18,47635,"1,131",14
"Wolf Hall (Thomas Cromwell, #1)",Hilary Mantel,3.9,198932,"1,130",14
Breakfast of Champions,Kurt Vonnegut Jr.,4.07,248426,"1,127",15
Speak,Laurie Halse Anderson,4.04,561302,"1,127",14
"King of Scars (King of Scars, #1)",Leigh Bardugo,4.17,162868,"1,121",12
"The Innocent (Will Robie, #1)",David Baldacci,4.16,99976,"1,116",14
The Secret Life of Bees,Sue Monk Kidd,4.08,1242178,"1,111",14
"Immoral Origins (The Desire Card, #1)",Lee Matthew Goldberg,4.28,4956,"1,107",13
Perfume: The Story of a Murderer,Patrick Süskind,4.04,421009,"1,105",13
A Short History of Nearly Everything,Bill Bryson,4.21,363690,"1,103",13
"The Spy Who Came In from the Cold (George Smiley, #3)",John le Carré,4.07,100811,"1,101",13
Summer of '69,Todd Strasser,3.9,454,"1,100",11
The Runaway Jury,John Grisham,4.01,295536,"1,099",13
"Spell Bound (Women of the Otherworld, #12)",Kelley Armstrong,4.23,14918,"1,097",12
"Trust: A New Beginning (Trust Trilogy, #1)",Cristiane Serruya,3.54,2754,"1,095",11
The Pelican Brief,John Grisham,4.04,416538,"1,089",12
A Gracious Enemy & After the War Volume One,Michael G. Kramer,4.33,644,"1,089",12
Firestarter,Stephen King,3.91,216562,"1,088",13
"Trust: Betrayed (Trust Trilogy, #2)",Cristiane Serruya,4.03,283,"1,087",11
"Hounded (The Iron Druid Chronicles, #1)",Kevin Hearne,4.09,84192,"1,082",12
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,4.53,885120,"1,082",15
The Secret History,Donna Tartt,4.17,557087,"1,082",13
Steel Dogs,Matthew Bracey,4.32,252,"1,081",12
Spilled Milk,K.L. Randis,4.4,56642,"1,081",11
BEHIND CLOSED DOORS: A Daughter's Story,Daniella Dechristopher,4.01,3009,"1,080",11
The Scarlet Letter,Nathaniel Hawthorne,3.43,820204,"1,076",15
Frankie the Ferret,Kimberley   Paterson,4.33,390,"1,074",12
Good to Great: Why Some Companies Make the Leap... and Others Don't,James C. Collins,4.14,176895,"1,074",11
"Deadline (Newsflesh, #2)",Mira Grant,4.1,25595,"1,070",11
Love Auction II: Love Designs,Sharon Carter,4.36,545,"1,070",12
Safe Haven,Nicholas Sparks,4.21,369157,"1,067",14
Mission: Subhero,Linda    Armstrong,4.35,872,"1,066",12
Lolita,Vladimir Nabokov,3.88,787471,"1,065",13
"Betrayal In Black (Zachary Blake Legal Thriller, #4)",Mark M. Bello,4.31,411,"1,055",12
"The Redemption of Ajax (The Mephisto Covenant, #1)",Trinity Faegen,3.86,4167,"1,052",13
"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,3.8,949465,"1,048",12
Naked Lunch,William S. Burroughs,3.46,86936,"1,046",12
The Woman in the Window,A.J. Finn,3.96,704420,"1,041",12
"Legend (Legend, #1)",Marie Lu,4.16,499472,"1,040",12
"Killing Floor (Jack Reacher, #1)",Lee Child,4.07,298208,"1,037",13
"Ship Breaker (Ship Breaker, #1)",Paolo Bacigalupi,3.75,43484,"1,030",12
Less Than Zero,Bret Easton Ellis,3.6,79256,"1,029",12
"Drum Beats, Heart Beats (Dancing Soul Trilogy, #3)",Maria Nhambu,4.29,2863,"1,028",11
"Shadowfever (Fever, #5)",Karen Marie Moning,4.39,106054,"1,025",11
Dear Barack: The Extraordinary Partnership of Barack Obama and Angela Merkel,Claudia   Clark,4.38,1168,"1,014",13
"The Dark Enquiry (Lady Julia Grey, #5)",Deanna Raybourn,4.04,9724,"1,010",11
Life for Life (Talion #3),J.K. Franko,4.4,502,"1,008",11
A Walk to Remember,Nicholas Sparks,4.19,776910,"1,005",13
Capital in the Twenty-First Century,Thomas Piketty,4.05,30269,"1,003",12
Unwifeable: A Memoir,Mandy Stadtmiller,3.52,2876,"1,000",10
"The Rising (Blue River Chronicles, #1)",C.M. Meridian,3.66,71,996,10
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.09,1293881,996,11
The Nanny Song,Misty Mount,4.22,784,989,11
Area 51: An Uncensored History of America's Top Secret Military Base,Annie Jacobsen,3.81,7769,987,11
The Prince,Niccolò Machiavelli,3.83,312444,987,12
"A Gallery of Mothers (Brathius History, #2)",J.S. Latshaw,4.35,577,986,11
Arrangement in Black and White,Fred Misurella,4.32,592,983,11
Eleanor & Park,Rainbow Rowell,3.96,1102660,981,12
Projector for Sale,Steven Decker,4.31,514,981,12
Soul Cure: How to Heal Your Pain and Discover Your Purpose,Gregory Dickow,3.52,1413,981,11
Off the Grid: The Catalyst,Brian  Courtney,4.17,341,980,10
The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,4.42,70415,977,10
The Boy in the Cellar,Stephen Smith,4.44,1466,977,10
The Lost Boy (Dave Pelzer #2),Dave Pelzer,4.1,64399,977,10
Hidden Figures,Margot Lee Shetterly,3.97,99268,976,11
The Brothers Karamazov,Fyodor Dostoevsky,4.36,301367,975,12
"What If? Serious Scientific Answers to Absurd Hypothetical Questions (What If?, #1)",Randall Munroe,4.14,161290,974,11
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24,1018356,969,13
"New Moon (The Twilight Saga, #2)",Stephenie Meyer,3.58,1792530,966,13
No Country for Old Men,Cormac McCarthy,4.14,177038,961,11
A Simple Plan,Scott        Smith,3.9,30116,960,11
Into the Water,Paula Hawkins,3.59,360847,960,12
The Bird Sisters,Rebecca Rasmussen,3.29,3782,958,11
Through God's Eye,Carolyn Cutler Hughes,4.27,670,958,10
The Innocent Man: Murder and Injustice in a Small Town,John Grisham,3.85,73325,957,11
Shutter Island,Dennis Lehane,4.11,184248,956,11
"Second Grave on the Left (Charley Davidson, #2)",Darynda Jones,4.25,50420,954,11
From Here to Eternity: Traveling the World to Find the Good Death,Caitlin Doughty,4.29,34552,954,11
One Hundred Years of Solitude,Gabriel García Márquez,4.11,903486,948,11
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.65,419402,944,11
Exit the Actress,Priya Parmar,3.82,1616,937,10
Norwegian Wood,Haruki Murakami,4.02,523607,935,12
"True Teryn (The Last Lumenian, #2)",S.G. Blaise,4.3,894,934,10
Last Exit to Brooklyn,Hubert Selby Jr.,3.92,25872,932,11
"Vanish (Firelight, #2)",Sophie Jordan,3.91,32711,931,12
Where the Crawdads Sing,Delia Owens,4.41,2452924,931,11
Paradise Lost,John Milton,3.83,156544,930,11
"Thinking, Fast and Slow",Daniel Kahneman,4.18,445642,928,12
The Pact,Jodi Picoult,4.02,296384,923,13
The Beagle and the Hare,Kevin Moccia,4.37,258,923,10
War and Peace,Leo Tolstoy,4.15,308140,921,11
Full Moon Saturday Night,Mark Barkawitz,4.26,229,920,10
Extreme,Joan Gelfand,4.39,286,920,10
"Unearthly (Unearthly, #1)",Cynthia Hand,4.02,126012,919,13
Post Office,Charles Bukowski,3.94,118365,918,10
Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely,4.12,118605,918,10
Reversione: Reset the Future,Chris A. Jones,4.15,488,916,10
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,3.9,626106,915,13
How to Win Friends and Influence People,Dale Carnegie,4.22,877482,914,10
Behind Closed Doors,B.A. Paris,3.98,478316,913,11
Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,4.41,240300,911,10
Educated,Tara Westover,4.47,1311631,909,11
Tuesdays with Morrie,Mitch Albom,4.15,946228,906,12
Schindler's List,Thomas Keneally,4.34,156450,905,12
"The 5th Wave (The 5th Wave, #1)",Rick Yancey,4.02,440160,903,10
Dune,Frank Herbert,4.26,1186097,903,13
The Chamber,John Grisham,3.83,135598,903,11
"Number 13 (Lightmasters, #1)",M.G. Wells,4.11,252,900,9
"The Iron-Jawed Boy (The Sky Guardian Chronicles, #1)",Nikolas Lee,4.19,346,900,9
"Running from Romeo (Romeo, #1)",Diane Mannino,3.57,587,900,9
Survivor,Chuck Palahniuk,3.93,114659,900,10
Roots of To-Be Templars (The Viking's Kurdish Love #3),Widad Akreyi,4.65,37,900,9
"The Scorch Trials (The Maze Runner, #2)",James Dashner,3.9,541644,899,11
The Sixth Station (Alexandra Russo  #1),Linda Stasi,3.54,383,899,9
"The Orb of Truth (The Horn King, #1)",Brae Wyckoff,3.72,299,898,9
The Endlands (Volume 1),Vincent Hobbes,3.88,132,897,9
The Rules of Attraction,Bret Easton Ellis,3.72,44686,895,11
For the Sake of a Child,Stevie Turner,4.17,190,894,9
Holly Jolly: Campfire Stories,J.K. Franko Jr.,4.35,4696,893,10
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.56,3361067,892,13
Love in the Time of Cholera,Gabriel García Márquez,3.93,476932,890,13
Crash,J.G. Ballard,3.59,23988,890,11
"What the Night Knows (What the Night Knows, #1)",Dean Koontz,3.77,20086,889,10
Building a Second Brain: A Proven Method to Organize Your Digital Life and Unlock Your Creative Potential,Tiago Forte,4.12,7485,889,9
Queer,William S. Burroughs,3.62,12593,888,10
"The Dark Tower (The Dark Tower, #7)",Stephen King,4.27,163604,888,10
The Color of Water: A Black Man's Tribute to His White Mother,James   McBride,4.11,117072,888,11
"The Hard Way (Jack Reacher, #10)",Lee Child,4.18,76469,887,10
Death of a Salesman,Arthur  Miller,3.56,219244,885,10
"Everlasting (The Immortals, #6)",Alyson Noel,3.9,46826,884,10
Night Film,Marisha Pessl,3.78,86695,883,10
"The White Queen (The Plantagenet and Tudor Novels, #2)",Philippa Gregory,3.95,169791,882,10
"Welcome to Bordertown (Borderland, #8)",Holly Black,4.07,2400,881,9
Atlas Shrugged,Ayn Rand,3.69,379135,878,10
The Shack,William Paul Young,3.81,615767,877,10
"The Year of the Flood (MaddAddam, #2)",Margaret Atwood,4.06,119297,876,11
Invisible Cities,Italo Calvino,4.13,75832,876,10
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.13,465983,876,10
Mere Christianity,C.S. Lewis,4.35,374992,875,10
"Lethal White (Cormoran Strike, #4)",Robert Galbraith,4.24,150500,875,10
Still Crazy,Judy Prescott Marshall,4.24,867,870,10
The Art of Forgetting,Camille Pagán,3.57,1918,869,10
"Fallen (Will Trent, #5)",Karin Slaughter,4.22,51181,869,10
The Joy Luck Club,Amy Tan,3.95,651413,866,12
A People's History of the United States,Howard Zinn,4.07,230935,864,10
A Castle of Doomsday,Michael G. Kramer,4.26,3428,863,9
"Darkness Becomes Her (Gods & Monsters, #1)",Kelly Keaton,3.9,15659,861,10
Heart of a Dog,Mikhail Bulgakov,4.11,53645,861,10
The Killer Inside Me,Jim Thompson,3.86,22225,861,10
Tampa,Alissa Nutting,3.42,26889,858,10
"C is for Corpse  (Kinsey Millhone, #3)",Sue Grafton,3.92,49728,858,10
"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.36,922555,857,11
"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,4.04,381575,857,10
"The Likeness (Dublin Murder Squad, #2)",Tana French,4.06,152845,854,11
Revolutionary Road,Richard Yates,3.92,85187,854,10
Waiting for Godot,Samuel Beckett,3.84,188873,854,10
Midnight in the Garden of Good and Evil,John Berendt,3.92,255715,853,11
"My Mother She Killed Me, My Father He Ate Me: Forty New Fairy Tales",Gregory Maguire,3.59,3944,851,10
Red Russia,Tanya Thompson,4.08,8922,851,9
"Proud Pada (The Last Lumenian, #3)",S.G. Blaise,4.33,944,851,9
Misery,Stephen King,4.21,629931,849,11
The Worst Hard Time: The Untold Story of Those Who Survived the Great American Dust Bowl,Timothy Egan,4.04,52462,849,11
The Winter's Tale,William Shakespeare,3.71,31294,849,10
Down and Out in Paris and London,George Orwell,4.09,80134,849,11
